iter	Passed	Remaining
403	9588	14145
404	9614	14124
405	9631	14091
406	9648	14058
407	9667	14027
408	9685	13995
409	9704	13964
410	9724	13936
411	9743	13905
412	9763	13876
413	9781	13845
414	9800	13815
415	9819	13785
416	9836	13752
417	9861	13730
418	9878	13698
419	9897	13667
420	9915	13636
421	9934	13606
422	9951	13574
423	9976	13552
424	9993	13521
425	10012	13490
426	10038	13471
427	10056	13439
428	10078	13413
429	10098	13386
430	10119	13359
431	10137	13329
432	10157	13301
433	10175	13270
434	10195	13241
435	10212	13210
436	10228	13178
437	10254	13157
438	10274	13129
439	10294	13102
440	10318	13080
441	10337	13051
442	10359	13025
443	10381	12999
444	10399	12970
445	10420	12944
446	10442	12918
447	10465	12894
448	10484	12865
449	10504	12838
450	10526	12813
451	10545	12785
452	10566	12759
453	10588	12734
454	10608	12706
455	10628	12679
456	10653	12658
457	10675	12633
458	10693	12604
459	10713	12576
460	10733	12549
461	10754	12523
462	10779	12501
463	10798	12474
464	10816	12444
465	10836	12417
466	10861	12396
467	10882	12371
468	10907	12349
469	10924	12319
470	10944	12292
471	10965	12266
472	10985	12239
473	11005	12212
474	11026	12187
475	11044	12157
476	11063	12129
477	11081	12101
478	11106	12080
479	11123	12050
480	11141	12022
481	11161	11995
482	11179	11966
483	11197	11937
484	11213	11906
485	11231	11878
486	11251	11852
487	11268	11822
488	11285	11793
489	11304	11765
490	11322	11737
491	11337	11706
492	11354	11677
493	11372	11648
494	11390	11620
495	11407	11591
496	11424	11562
497	11442	11534
498	11461	11507
499	11477	11477
500	11495	11450
501	11516	11424
502	11534	11396
503	11556	11372
504	11572	11343
505	11591	11316
506	11612	11291
507	11629	11263
508	11651	11239
509	11685	11227
510	11715	11211
511	11743	11193
512	11771	11174
513	11795	11153
514	11820	11132
515	11844	11110
516	11866	11085
517	11886	11060
518	11906	11034
519	11924	11007
520	11946	10983
521	11971	10962
522	11995	10940
523	12019	10918
524	12040	10893
525	12064	10871
526	12080	10842
527	12097	10814
528	12115	10787
529	12134	10760
530	12151	10732
531	12171	10707
532	12190	10680
533	12208	10653
534	12226	10627
535	12242	10598
536	12259	10570
537	12276	10542
538	12294	10515
539	12310	10487
540	12329	10460
541	12346	10433
542	12369	10410
543	12387	10383
544	12406	10357
545	12424	10331
546	12441	10303
547	12458	10275
548	12475	10248
549	12494	10222
550	12515	10198
551	12536	10174
552	12559	10152
553	12579	10126
554	12601	10104
555	12614	10073
556	12627	10043
557	12666	10033
558	12696	10016
559	12725	9998
560	12762	9987
561	12803	9978
562	12826	9956
563	12848	9932
564	12869	9908
565	12887	9882
566	12905	9855
567	12924	9829
568	12942	9803
569	12968	9783
570	12986	9756
571	13006	9731
572	13026	9707
573	13043	9680
574	13058	9652
575	13077	9626
576	13092	9598
577	13112	9573
578	13130	9547
579	13147	9520
580	13167	9495
581	13184	9469
582	13201	9442
583	13218	9415
584	13234	9388
585	13252	9362
586	13273	9339
587	13293	9314
588	13310	9287
589	13321	9257
590	13333	9227
591	13346	9198
